Invoice_IDBranch,Branch,City,Customer_type,Gender,Product_type,Unit_price,Quantity,Tax,Total,Payment
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,Ewallet
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,Cash
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,Credit card
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,23.288,489.048,Ewallet
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,Ewallet
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,Ewallet
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.692,Ewallet
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,Ewallet
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.146,Credit card
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.746,Credit card
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,60.816,Ewallet
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,5.102,107.142,Cash
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,Ewallet
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,21.595,453.495,Ewallet
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,Cash
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,Cash
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,Credit card
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.443,Credit card
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,Credit card
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,Ewallet
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,451.71,Ewallet
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,13.197,277.137,Ewallet
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,Credit card
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,Ewallet
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,Ewallet
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,Credit card
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,Cash
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.767,184.107,Credit card
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,463.89,Cash
848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,Cash
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,Credit card
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,35.1315,737.7615,Cash
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,33.512,703.752,Cash
595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,9.658,202.818,Credit card
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.884,417.564,Ewallet
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,71.526,Ewallet
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,15.655,328.755,Ewallet
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,Ewallet
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,21.968,461.328,Ewallet
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,12.048,253.008,Cash
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,Ewallet
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.611,117.831,Cash
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6,20.736,435.456,Cash
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829.08,Cash
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,1.537,32.277,Cash
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4,18.792,394.632,Cash
370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9,25.5105,535.7205,Credit card
727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,189.0945,Ewallet
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,6,5.679,119.259,Credit card
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.315,867.615,Ewallet
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,31.99,671.79,Cash
162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,Cash
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,75.054,Ewallet
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.7715,16.2015,Credit card
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,1.616,33.936,Ewallet
